Fluides Type;REG Dimension ;BOX Dimension;Alpha Max;Alpha Min;Alpha peak;Width;f (alpha max);f (alpha min);f (alpha peak);Right height;Left height;C values
GAZ;1.6322;1.6315;0.91;0.45;0.61;0.46;0.66;0.88;1;0.34;0.12;0.22
GAZ;1.6378;1.6729;0.86;0.42;0.59;0.44;0.68;0.87;1;0.32;0.13;0.19
GAZ;1.6188;1.6875;1.03;0.48;0.71;0.55;0.66;0.78;1;0.34;0.22;0.12
OIL;1.272;1.8326;2.75;0;1.6;2.75;0.42;-0.02;1;0.58;1.02;0.44
OIL;1.2783;1.8259;4.2;1.7;3.6;2.5;0.85;-0.6;1;0.15;1.6;1.45
OIL;1.273;1.8286;4.8;2.1;4;2.7;0.4;-1.35;1;0.6;2.35;1.75
OIL;1.2654;1.8255;4.35;1.7;3.8;2.65;0.85;-1.1;1;0.15;2.1;1.95
OIL;1.2468;1.8265;4.68;2.1;3.9;2.58;0.75;-0.8;1;0.25;1.8;1.55
OIL;1.4704;1.9326;3;0.15;1.45;2.85;-0.08;0.19;1;1.08;0.81;0.27
OIL;1.5431;1.8728;1.7;-2.27;-0.4;3.97;-0.3;-0.34;1;1.3;1.34;0.04
OIL;1.2615;1.8675;1.1;-0.9;0.4;2;0.59;-0.1;1;0.41;1.1;0.69
OIL;1.3279;1.8858;1.75;-0.7;0.9;2.45;0.48;-0.38;1;0.52;1.38;0.86
OIL;1.273;1.9014;2.98;-0.65;1.49;3.63;-0.44;-0.84;1;1.44;1.84;0.4
OIL;1.5881;1.8206;4.8;1.5;3;3.3;-0.9;-0.48;1;1.9;1.48;0.42
OIL;1.4548;1.8351;2.5;1;2.33;1.5;1;-0.5;1;0;1.5;1.5
OIL;1.3897;1.8302;3.45;-1.4;1.48;4.85;-2.4;-1.6;1;3.4;2.6;0.8
OIL;1.3849;1.8376;1;-0.34;0.55;1.34;0.54;0.04;1;0.46;0.96;0.5
OIL;1.4494;1.8341;2.98;1.41;2.75;1.57;1;-0.38;1;0;1.38;1.38
OIL;1.3073;1.8649;1.95;-0.7;0.2;2.65;-0.8;0.22;1;1.8;0.78;1.02
OIL;1.4992;1.8136;1.87;0.65;1.68;1.22;0.33;-0.6;0.99;0.66;1.59;0.93
OIL;1.3737;1.8207;1.7;-0.45;0.68;2.15;0.38;0.39;1;0.62;0.61;0.01
OIL;1.3581;1.8398;2.25;-0.5;0.7;2.75;-0.6;0;1;1.6;1;0.6
OIL;1.4089;1.8686;1.6;-0.9;0.5;2.5;-0.02;-0.8;1;1.02;1.8;0.78
OIL;1.5177;1.7415;1.2;-1.9;0.05;3.1;-0.8;-2;1;1.8;3;1.2
OIL;1.5234;1.7813;3.5;1;2.1;2.5;-0.8;0.37;1;1.8;0.63;1.17
OIL;1.4975;1.7386;0.6;-0.92;0.28;1.52;0.84;0.06;1;0.16;0.94;0.78
OIL;1.4555;1.7549;3.3;-1.2;0.7;4.5;-2.4;0;1;3.4;1;2.4
OIL;1.4899;1.7406;0.95;-0.94;-0.38;1.89;0.18;0.95;1;0.82;0.05;0.77
GAZ;1.5219;1.67;0.265;0.13;0.23;0.135;0.99;0.9;1;0.01;0.1;0.09
GAZ;1.5807;1.7485;0.95;0.26;0.6;0.69;0.6;0.54;1;0.4;0.46;0.06
GAZ;1.6106;1.7224;1.4;0.7;0.98;0.7;0.61;0.79;1;0.39;0.21;0.18
GAZ;1.5952;1.7145;1.38;0.69;0.93;0.69;0.57;0.82;1;0.43;0.18;0.25
GAZ;1.5375;1.6916;1.24;0.5;0.82;0.74;0.62;0.7;1;0.38;0.3;0.08
GAZ;1.4696;1.6892;0.42;0.21;0.42;0.21;0.87;0.55;0.87;0;0.32;0.32
GAZ;1.641;1.7718;1.21;0.61;0.9;0.6;0.47;0.42;1;0.53;0.58;0.05
GAZ;1.6438;1.7396;1.55;1.13;1.19;0.42;0.62;1;1;0.38;0;0.38
GAZ;1.5962;1.717;1.82;1.05;1.22;0.77;0.5;0.99;1;0.5;0.01;0.49
GAZ;1.5338;1.7116;1.47;0.75;0.9;0.72;0.39;0.85;1;0.61;0.15;0.46
OIL;1.4697;1.9365;1.8;-0.49;1.1;2.29;0.62;-0.22;1;0.38;1.22;0.84
OIL;1.5061;1.9233;2.5;0;2;2.5;1;-0.1;1;0;1.1;1.1
OIL;1.3627;1.9156;3;-0.4;0.9;3.4;-0.5;0.41;1;1.5;0.59;0.91
OIL;1.3576;1.9137;3.8;0.25;2.25;3.55;-0.1;-0.5;1;1.1;1.5;0.4
OIL;1.3163;1.922;2.25;-0.4;1.6;2.65;0.62;-0.8;1;0.38;1.8;1.42
OIL;1.5084;1.8928;2.4;0.05;1.12;2.35;-0.27;0.23;1;1.27;0.77;0.5
OIL;1.4401;1.8727;0.81;-0.78;0.42;1.59;0.21;-0.9;1;0.79;1.9;1.11
OIL;1.3879;1.875;2.5;0.2;1.65;2.3;0.18;-0.79;1;0.82;1.79;0.97
OIL;1.3869;1.9257;2.65;0.41;1;2.24;-1;0.72;1;2;0.28;1.72
OIL;1.3572;1.8964;1.5;-2.5;-0.6;4;-0.18;0.02;1;1.18;0.98;0.2
OIL;2.0655;1.5019;2.15;-1.2;1;3.35;0.56;-0.57;1;0.44;1.57;1.13
OIL;1.4934;1.7626;1.61;0.21;0.45;1.4;-0.5;1;1;1.5;0;1.5
OIL;1.4084;1.8479;2.05;-0.6;1.25;2.65;0.25;-1.35;1;0.75;2.35;1.6
OIL;1.3829;1.8434;6.5;3.8;4.5;2.7;-0.8;0.7;1;1.8;0.3;1.5
OIL;1.3778;1.7178;1.38;-1.76;0.9;3.14;0.99;-1;1;0.01;2;1.99
OIL;1.7588;1.8608;1.69;0.59;1.45;1.1;0.86;0.29;1;0.14;0.71;0.57
OIL;1.7083;1.8827;6.5;1.4;3.4;5.1;-0.68;0.22;1;1.68;0.78;0.9
OIL;1.7833;1.91;1.2;-0.5;0.08;1.7;-0.45;0.4;1;1.45;0.6;0.85
OIL;1.6662;1.9202;2.45;0;0.4;2.45;-0.18;0.6;1;1.18;0.4;0.78
OIL;1.6745;1.9234;2.4;-0.1;1.1;2.5;-0.35;-0.2;1;1.35;1.2;0.15
OIL;1.3278;1.9611;2.2;-1.2;1.05;3.4;0.58;-0.56;1;0.42;1.56;1.14
OIL;1.6313;1.7351;3.1;1;2.1;2.1;0.61;0.1;1;0.39;0.9;0.51
OIL;1.5587;1.7011;1.68;0.48;1.25;1.2;0.55;0.12;1;0.45;0.88;0.43
OIL;1.5644;1.7485;1.95;0.82;1.6;1.13;0.9;0.22;1;0.1;0.78;0.68
OIL;1.5427;1.8082;1.68;-0.08;0.78;1.76;0.3;0.29;1;0.7;0.71;0.01
OIL;1.4646;1.8677;3.36;1.64;2.61;1.72;0.46;0.43;1;0.54;0.57;0.03
OIL;1.4763;1.8871;2.9;0.1;2.45;2.8;1;-0.76;1;0;1.76;1.76
OIL;1.478;1.8808;3.2;0;2.3;3.2;1;-0.2;1;0;1.2;1.2
OIL;1.4523;1.8689;3.42;1.82;3.04;1.6;0.96;0.21;1;0.04;0.79;0.75
OIL;1.4432;1.878;2.26;0.75;0.9;1.51;-0.87;0.2;1;1.87;0.8;1.07
OIL;1.4579;1.8631;4.8;1.8;3.75;3;-0.4;-1.45;1;1.4;2.45;1.05
OIL;1.4492;1.8802;3.88;2.61;3.72;1.27;1;-0.1;1;0;1.1;1.1
OIL;1.4499;1.8722;4.8;1.51;3.5;3.29;0.27;-0.68;1;0.73;1.68;0.95
OIL;1.43231;1.851;5.25;1.9;4.29;3.35;-0.1;-2.1;1;1.1;3.1;2
OIL;1.4086;1.8452;4.6;1.46;4.1;3.14;0.75;-2.1;1;0.25;3.1;2.85
OIL;1.5229;1.9308;3.35;0.9;3.1;2.45;1;-0.9;1;0;1.9;1.9
OIL;1.4993;1.9336;3.18;0.95;2.85;2.23;1;-0.7;1;0;1.7;1.7
OIL;1.4846;1.9353;3.25;1;3.1;2.25;1;-0.9;1;0;1.9;1.9
OIL;1.4758;1.9344;3.3;1;3.13;2.3;1;-0.92;1;0;1.92;1.92
OIL;1.4754;1.9361;3.33;1;3.11;2.33;1;-0.94;1;0;1.94;1.94
OIL;1.5388;1.8621;2.8;0.8;2.2;2;0.54;-0.2;1;0.46;1.2;0.74
OIL;1.5421;1.8727;3;1;2.2;2;0.3;-0.1;1;0.7;1.1;0.4
OIL;1.5544;1.8689;2.92;1.2;2.1;1.72;0.22;-0.01;1;0.78;1.01;0.23
OIL;1.546;1.8686;3.1;1.1;2.4;2;0.59;-0.35;1;0.41;1.35;0.94
OIL;1.5428;1.8792;2.75;0.81;2.15;1.94;0.6;-0.18;1;0.4;1.18;0.78
OIL;1.5947;1.7475;2.8;-0.5;1.25;3.3;0.41;0.3;1;0.59;0.7;0.11
OIL;1.6098;1.8577;2.75;0;2.1;2.75;0.79;-0.92;1;0.21;1.92;1.71
OIL;1.5924;1.8414;2.6;-0.4;1.45;3;0;-0.8;1;1;1.8;0.8
OIL;1.5487;1.8224;4.4;-0.85;3;5.25;0.4;-1.45;1;0.6;2.45;1.85
OIL;1.5358;1.8187;5;-0.8;3.08;5.8;0;-1.5;1;1;2.5;1.5
OIL;1.3165;1.9595;4.85;-0.4;2.1;5.25;-0.62;-0.62;1;1.62;1.62;0
OIL;1.4466;1.9621;2.4;-0.4;1.1;2.8;0.2;0.2;1;0.8;0.8;0
OIL;1.5117;1.9639;2.6;-0.4;1.3;3;-0.04;-0.04;1;1.04;1.04;0
OIL;1.5475;1.9648;2.2;-0.4;1;2.6;-0.03;-0.03;1;1.03;1.03;0
OIL;1.5376;1.9646;2;-0.2;0.9;2.2;-0.02;-0.02;1;1.02;1.02;0
GAZ;1.6578;1.2555;0.75;0.15;0.59;0.6;0.99;0.51;1;0.01;0.49;0.48
GAZ;1.6206;1.2722;1.96;1.04;1.18;0.92;0.55;0.56;1;0.45;0.44;0.01
GAZ;1.6014;1.2791;1.48;0.9;1.15;0.58;0.59;0.67;1;0.41;0.33;0.08
GAZ;1.652;1.2625;1.58;0.92;1.21;0.66;0.59;0.67;1;0.41;0.33;0.08
GAZ;1.6633;1.2634;1.7;0.94;1.29;0.76;0.57;0.65;1;0.43;0.35;0.08
OIL;1.2108;1.9424;3.1;0.9;1.95;2.2;0.24;0.18;1;0.76;0.82;0.06
OIL;1.1763;1.9447;3.48;1.3;2.6;2.18;0.32;-0.21;1;0.68;1.21;0.53
OIL;1.2223;1.9429;1.4;-0.22;1.01;1.62;0.8;-0.94;1;0.2;1.94;1.74
OIL;1.2514;1.9381;2.35;-1.5;0.7;3.85;-0.9;-0.94;1;1.9;1.94;0.04
OIL;1.2514;1.9391;2.25;-1.48;0.6;3.73;-0.59;-0.72;1;1.59;1.72;0.13
GAZ;1.9367;1.4263;1.11;0.37;0.92;0.74;0.95;0.62;1;0.05;0.38;0.33
GAZ;1.9266;1.5132;1.45;0.86;1.42;0.59;0.99;0.25;1;0.01;0.75;0.74
GAZ;1.9254;1.4455;1.18;0.72;1.14;0.46;0.98;0.64;1;0.02;0.36;0.34
GAZ;1.9126;1.3811;0.65;0.37;0.62;0.28;1;0.84;1;0;0.16;0.16
GAZ;1.8957;1.4436;1.07;0.8;1.05;0.27;1;0.73;1;0;0.27;0.27
GAZ;1.803;1.5123;1.53;0.67;1.02;0.86;0.44;0.61;1;0.56;0.39;0.17
GAZ;1.773;1.5741;1.67;1.34;1.58;0.33;0.81;0.6;1;0.19;0.4;0.21
GAZ;1.7722;1.5461;1.39;1.2;1.37;0.19;0.76;0.46;0.85;0.09;0.39;0.3
GAZ;1.7617;1.5139;1.6;0.82;1.02;0.78;0.4;0.89;1;0.6;0.11;0.49
GAZ;1.7288;1.55;1.12;0.84;1.07;0.28;0.9;0.62;0.99;0.09;0.37;0.28
GAZ;1.7451;1.5601;1.61;1.01;1.43;0.6;0.82;0.58;1;0.18;0.42;0.24
GAZ;1.7266;1.536;0.872;0.788;0.872;0.084;0.87;0.68;0.87;0;0.19;0.19
GAZ;1.7199;1.5228;1.268;1.138;1.22;0.13;0.84;0.74;0.945;0.105;0.205;0.1
GAZ;1.6996;1.5393;1.18;0.97;1.18;0.21;0.96;0.63;0.96;0;0.33;0.33
GAZ;1.6887;1.5229;1.26;1.24;1.27;0.02;0.8;0.72;0.8;0;0.08;0.08
GAZ;1.916;1.6275;0.53;0.1;0.51;0.43;1;0.5;1;0;0.5;0.5
GAZ;1.9061;1.6109;0.39;0.02;0.36;0.37;1;0.63;1;0;0.37;0.37
GAZ;1.9049;1.6157;0.55;0.18;0.55;0.37;1;0.45;1;0;0.55;0.55
GAZ;1.9035;1.6225;0.55;0.15;0.53;0.4;1;0.52;1;0;0.48;0.48
GAZ;1.9007;1.621;0.66;0.34;0.65;0.32;1;0.55;1;0;0.45;0.45
OIL;1.4531;1.8459;1.65;-0.45;1.15;2.1;0.18;-0.8;1;0.82;1.8;0.98
OIL;1.4624;1.8664;1.55;-0.32;1.2;1.87;0.79;-0.9;1;0.21;1.9;1.69
OIL;1.4436;1.8317;1.7;-0.35;1.2;2.05;0.6;-0.9;1;0.4;1.9;1.5
OIL;1.4271;1.7516;1.57;0.07;1.2;1.5;0.78;-0.26;1;0.22;1.26;1.04
OIL;1.4232;1.797;2.51;-0.4;1.25;2.91;-0.81;-0.3;1;1.81;1.3;0.51
OIL;1.6606;1.8365;4.85;0.1;2.1;4.75;-0.67;-0.06;1;1.67;1.06;0.61
OIL;1.5956;1.8511;4.2;-1;1.7;5.2;-0.06;-0.18;1;1.06;1.18;0.12
OIL;1.5509;1.8467;5.6;3.5;4.8;2.1;0.58;-0.35;1;0.42;1.35;0.93
OIL;1.5274;1.8413;5.3;3.4;4.6;1.9;0.6;-0.2;1;0.4;1.2;0.8
OIL;1.5256;1.8422;5.02;3.22;4.35;1.8;0.5;0;1;0.5;1;0.5
OIL;1.4533;1.9237;2;-0.35;1.1;2.35;0.38;-0.35;1;0.62;1.35;0.73
OIL;1.4865;1.901;3.6;0.8;2.5;2.8;0.1;-0.61;1;0.9;1.61;0.71
OIL;1.5033;1.9259;2.8;1.01;1.78;1.79;-0.12;0.3;1;1.12;0.7;0.42
OIL;1.5174;1.9348;1.52;-0.1;0.8;1.62;0.22;-0.1;1;0.78;1.1;0.32
OIL;1.431;1.8373;1.95;0;0.75;1.95;-0.08;0.66;1;1.08;0.34;0.74
OIL;1.4048;1.9301;1.62;-0.19;1.1;1.81;0.85;0;1;0.15;1;0.85
OIL;1.3858;1.9221;1.55;0.23;1.3;1.32;0.92;0.22;1;0.08;0.78;0.7
OIL;1.3725;1.9115;1.52;0.22;1.32;1.3;0.96;-0.3;1;0.04;1.3;1.26
OIL;1.3627;1.9;1.94;0.21;1.5;1.73;0.82;-0.8;1;0.18;1.8;1.62
OIL;1.3568;1.8904;1.95;0.58;1.51;1.37;0.82;-0.19;1;0.18;1.19;1.01
OIL;1.4232;1.8933;3.1;0.35;1.1;2.75;-0.9;0.76;1;1.9;0.24;1.66
OIL;1.4102;1.926;4.5;0.4;3.65;4.1;1;-1.25;1;0;2.25;2.25
OIL;1.4141;1.9337;4.85;2.4;3.9;2.45;0.1;-0.49;1;0.9;1.49;0.59
OIL;1.4321;1.9349;6.4;2.2;4.75;4.2;-0.4;-0.68;1;1.4;1.68;0.28
OIL;1.4549;1.9121;7.2;3.55;5.1;3.65;-0.4;0.2;1;1.4;0.8;0.6
OIL;1.42483;1.9155;2.2;-0.5;1.2;2.7;0.52;-0.64;1;0.48;1.64;1.16
OIL;1.4248;1.9331;1.4;0;1.4;1.4;1;0.02;1;0;0.98;0.98
OIL;1.4342;1.9363;2;0.1;1.4;1.9;0.84;-0.11;1;0.16;1.11;0.95
OIL;1.4527;1.9365;2.6;0.3;1.7;2.3;0.61;-0.2;1;0.39;1.2;0.81
OIL;1.4527;1.9365;2.6;0.3;1.7;2.3;0.61;-0.2;1;0.39;1.2;0.81
OIL;1.4642;1.9256;3.95;-1.82;1.9;5.77;0.5;-0.78;1;0.5;1.78;1.28
GAZ;1.69;1.4787;0.32;0.271;0.32;0.049;0.91;0.815;0.91;0;0.095;0.095
GAZ;1.7033;1.4956;0.64;0.4;0.64;0.24;0.98;0.75;0.98;0;0.23;0.23
GAZ;1.7107;1.4816;0.35;0.22;0.35;0.13;0.9;0.72;0.9;0;0.18;0.18
GAZ;1.7779;1.5176;0.74;0.51;0.74;0.23;0.97;0.72;0.97;0;0.25;0.25
GAZ;1.6775;1.4984;0.575;0.415;0.575;0.16;0.97;0.81;0.97;0;0.16;0.16
GAZ;1.6483;1.5131;0.98;0.66;0.66;0.32;0.59;0.99;0.99;0.4;0;0.4
GAZ;1.6545;1.4865;0.3152;0.3138;0.3138;0.0014;0.7635;0.7655;0.7655;0.002;0;0.002
GAZ;1.7172;1.4565;0.415;0.306;0.306;0.109;0.71;0.825;0.825;0.115;0;0.115
GAZ;1.6907;1.4451;0.532;0.415;0.415;0.117;0.661;0.812;0.812;0.151;0;0.151
GAZ;1.7077;1.4567;0.558;0.42;0.42;0.138;0.69;0.84;0.84;0.15;0;0.15
GAZ;1.5785;1.4979;0.58;0.14;0.51;0.44;1;0.67;1;0;0.33;0.33
GAZ;1.5891;1.5443;0.44;-0.02;0.33;0.46;1;0.82;1;0;0.18;0.18
GAZ;1.6296;1.5326;0.18;-0.08;0.06;0.26;1;0.98;1;0;0.02;0.02
GAZ;1.6278;1.5233;0.18;-0.13;0.03;0.31;1;0.98;1;0;0.02;0.02
GAZ;1.6626;1.5266;0.32;-0.13;0.07;0.45;0.94;0.97;1;0.06;0.03;0.03
OIL;1.4822;1.6442;2.08;0.8;1.7;1.28;0.8;-0.01;1;0.2;1.01;0.81
OIL;1.4826;1.6992;2.1;0.96;1.9;1.14;0.96;0.05;1;0.04;0.95;0.91
OIL;1.4704;1.716;1.95;0.83;1.68;1.12;0.95;0.34;1;0.05;0.66;0.61
OIL;1.4673;1.6343;1.1;-0.9;0.45;2;0.73;0.27;1;0.27;0.73;0.46
OIL;1.456;1.5771;3.7;1.1;2.8;2.6;0.98;0.21;1;0.02;0.79;0.77
OIL;1.4795;1.8934;3.8;0.98;2.9;2.82;0.4;-1.1;1;0.6;2.1;1.5
OIL;1.463;1.8916;3.7;0.9;2.9;2.8;0.58;-0.74;1;0.42;1.74;1.32
OIL;1.4547;1.8903;3.7;0.83;2.4;2.87;0.4;-0.22;1;0.6;1.22;0.62
OIL;1.4415;1.8939;2.5;0.82;1.9;1.68;0.84;-0.08;1;0.16;1.08;0.92
OIL;1.4403;1.8918;2.45;0.8;0.78;1.65;0.9;-0.02;1;0.1;1.02;0.92
OIL;1.4214;1.7618;4;-1.6;0.2;5.6;-1.1;0.6;1;2.1;0.4;1.7
OIL;1.5972;1.7356;6;2.2;3.7;3.8;-0.42;0.47;1;1.42;0.53;0.89
OIL;1.615;1.8148;2.35;0.68;1.68;1.67;0.48;0.12;1;0.52;0.88;0.36
OIL;1.4296;1.9395;2.3;0;1.2;2.3;-0.6;-0.1;1;1.6;1.1;0.5
OIL;1.4535;1.8434;3;-0.4;1;3.4;-0.8;-0.03;1;1.8;1.03;0.77
OIL;1.4912;1.9559;1.82;-0.75;0.5;2.57;-1;0.05;1;2;0.95;1.05
OIL;1.4964;1.9548;4.3;2.1;2.9;2.2;-0.7;0.15;1;1.7;0.85;0.85
OIL;1.4912;1.9513;2.8;1.75;1.95;1.05;-0.1;0.9;1;1.1;0.1;1
OIL;1.4845;1.9494;2.32;1.15;1.6;1.17;0.35;0.72;1;0.65;0.28;0.37
OIL;1.4981;1.9388;2.1;0.42;1.85;1.68;0.88;-0.18;1;0.12;1.18;1.06
OIL;1.8582;1.4917;1.5;-0.7;0.8;2.2;0.81;-0.03;1;0.19;1.03;0.84
OIL;1.6728;1.8375;5.2;0.7;2.9;4.5;-0.64;-0.39;1;1.64;1.39;0.25
OIL;1.6664;1.8415;1.65;-1.3;0;2.95;-1.7;0.2;1;2.7;0.8;1.9
OIL;1.5947;1.9792;3.04;-0.8;1.25;3.84;-0.1;-1.6;1;1.1;2.6;1.5
OIL;1.6102;1.8065;2.2;-0.15;1.4;2.35;0.77;-0.19;1;0.23;1.19;0.96
